word,reading_hiragana,meaning_ko,example_jp,example_ko
ぶかぶか,ぶかぶか,헐렁헐렁,,
ぺこぺこ,ぺこぺこ,배가 몹시 고픈 모양,,
ぼつぼつ,ぼつぼつ,슬슬 조금씩,,
まちまち,まちまち,제각각 가지각색,,
まるまる,まるまる,통째로 전부,,
まん丸い,まんまるい,동그랗다 완전히 둥글다,,
めきめき,めきめき,눈에 띄게 빠르게,,
やまやま,やまやま,간절히 매우,,
やり通す,やりとおす,끝까지 해내다,,
やり遂げる,やりとげる,완수하다 해내다,,
やんわり,やんわり,부드럽게 완곡하게,,
アクセス権,あくせすけん,접근 권한,,
リズム感,りずむかん,리듬감,,
一任,いちにん,일임,,
一帯,いったい,일대,,
一律に,いちりつに,일률적으로,,
一掃,いっそう,일소,,
一環,いっかん,일환,,
万能,ばんのう,만능,,
上位,じょうい,상위,,
上昇,じょうしょう,상승,,
上演,じょうえん,상연,,
上空,じょうくう,상공,,
不備,ふび,미비,,
不動産,ふどうさん,부동산,,
不可欠,ふかけつ,불가결,,
不在,ふざい,부재,,
不審な,ふしんな,수상한,,
不当な,ふとうな,부당한,,
不景気,ふけいき,불경기,,
不服,ふふく,불복,,
不況,ふきょう,불황,,
不興,ふきょう,불쾌함 노여움,,
不良な,ふりょうな,불량한,,
不評な,ふひょうな,평판이 나쁜,,
不調な,ふちょうな,부진한,,
不順な,ふじゅんな,순조롭지 못한,,
世代,せだい,세대,,
世論,よろん,여론,,
丘陵,きゅうりょう,구릉,,
両極,りょうきょく,양극,,
並列,へいれつ,병렬,,
並行,へいこう,병행,,
中傷,ちゅうしょう,중상 비방,,
中和,ちゅうわ,중화,,
中断,ちゅうだん,중단,,
中枢,ちゅうすう,중추,,
中立,ちゅうりつ,중립,,
中継,ちゅうけい,중계,,
主体,しゅたい,주체,,
主催,しゅさい,주최,,
主導,しゅどう,주도,,
主導権,しゅどうけん,주도권,,
主権,しゅけん,주권,,
主演,しゅえん,주연,,
主題,しゅだい,주제,,
主食,しゅしょく,주식,,
久しい,ひさしい,오래되다 오래간만이다,,
乗り出す,のりだす,나서다 착수하다 몸을 내밀다,,
乗り過ごす,のりすごす,내릴 곳을 지나치다,,
乱れる,みだれる,흐트러지다,,
了承,りょうしょう,양해,,
予想外,よそうがい,예상 밖,,
予断,よだん,예단,,
予算外,よさんがい,예산 외,,
事前,じぜん,사전,,
事業団,じぎょうだん,사업단,,
交わす,かわす,주고받다,,
交易,こうえき,교역,,
交替,こうたい,교대,,
交通費,こうつうひ,교통비,,
交錯,こうさく,뒤얽힘,,
享受,きょうじゅ,향유,,
人件費,じんけんひ,인건비,,
人体,じんたい,인체,,
人手,ひとで,일손,,
人材,じんざい,인재,,
人柄,ひとがら,인품,,
人格,じんかく,인격,,
人民,じんみん,인민,,
人脈,じんみゃく,인맥,,
人質,ひとじち,인질,,
介入,かいにゅう,개입,,
仏像,ぶつぞう,불상,,
仕上がる、,しあがる,완성되다 마무리되다,,
仕業,しわざ,소행,,
仕様,しよう,사양,,
仕立てる,したてる,만들어 내다 재단하다 꾸미다,,
他動詞,たどうし,타동사,,
他方,たほう,다른 한편,,
代わる代わる,かわるがわる,번갈아,,
代弁,だいべん,대변,,
代用,だいよう,대용,,
仮免許,かりめんきょ,임시 면허,,
仮契約,かりけいやく,가계약,,
仮採用,かりさいよう,임시 채용,,
任務,にんむ,임무,,
任命,にんめい,임명,,
企画,きかく,기획,,
会心,かいしん,회심,,
会談,かいだん,회담,,
伝来,でんらい,전래,,
伝言,でんごん,전언,,
伝説,でんせつ,전설,,
伝達,でんたつ,전달,,
伴う,ともなう,동반하다,,
伴奏,ばんそう,반주,,
住み慣れる,すみなれる,살아서 익숙해지다,,
体力,たいりょく,체력,,
体格,たいかく,체격,,
体裁,ていさい,체재,,
体験,たいけん,체험,,
余地,よち,여지,,
余暇,よか,여가,,
余興,よきょう,여흥,,
作動,さどう,작동,,
作戦,さくせん,작전,,
作用,さよう,작용,,
使いこなす,つかいこなす,능숙하게 다루다,,
使い分ける,つかいわける,구분해서 쓰다,,
使用人,しようにん,사용인,,
依存,いぞん,의존,,
依然,いぜん,여전히 이전과 같이,,
依頼,いらい,의뢰 부탁,,
侮辱,ぶじょく,모욕,,
侵す,おかす,침범하다,,
侵入,しんにゅう,침입,,
侵略,しんりゃく,침략,,
便宜,べんぎ,편의,,
保温,ほおん,보온,,
保育,ほいく,보육,,
保護,ほご,보호,,
保険,ほけん,보험,,
保障,ほしょう,보장,,
保養,ほよう,보양,,
信じ通す,しんじとおす,끝까지 믿다,,
信仰,しんこう,신앙,,
信任,しんにん,신임,,
信者,しんじゃ,신자,,
修了,しゅうりょう,수료,,
修士,しゅうし,석사,,
修学,しゅうがく,수학,,
修復,しゅうふく,수복,,
個々,ここ,개개,,
個別,こべつ,개별,,
個性,こせい,개성,,
倍率,ばいりつ,배율,,
倒産,とうさん,도산,,
倹約,けんやく,절약,,
偏る,かたよる,치우치다,,
偏在,へんざい,편재 치우쳐 존재함,,
偏屈,へんくつ,편굴함 괴팍함,,
偏愛,へんあい,편애,,
偏見,へんけん,편견,,
停滞,ていたい,정체 침체,,
健やかな,すこやかな,건강한,,
健在,けんざい,건재,,
健闘,けんとう,건투,,
側面,そくめん,측면,,
偽る,いつわる,속이다,,
偽造,ぎぞう,위조,,
催す,もよおす,개최하다,,
傾ける,かたむける,기울이다,,
傾斜,けいしゃ,경사,,
働きかける,はたらきかける,작용하다 설득하다,,
優位,ゆうい,우위,,
優勢な,ゆうせいな,우세한,,
優美な,ゆうびな,우아한,,
優越,ゆうえつ,우월,,
元年,がんねん,원년,,
元来,がんらい,원래,,
元素,げんそ,원소,,
元首,げんしゅ,원수,,
充実,じゅうじつ,충실,,
兆し,きざし,조짐,,
先代,せんだい,선대,,
先天的,せんてんてき,선천적,,
先着,せんちゃく,선착,,
先行,せんこう,선행,,
先行き,さきゆき,앞날,,
光沢,こうたく,광택,,
光熱費,こうねつひ,광열비,,
克明な,こくめいな,꼼꼼한,,
克服,こくふく,극복,,
免れる,まぬがれる,면하다,,
免除,めんじょ,면제,,
入手,にゅうしゅ,입수,,
入浴,にゅうよく,입욕,,
入賞,にゅうしょう,입상,,
全快,ぜんかい,완쾌,,
公共性,こうきょうせい,공공성,,
公募,こうぼ,공모,,
公団,こうだん,공단,,
公演,こうえん,공연,,
公然,こうぜん,공공연함,,
公立,こうりつ,공립,,
公言,こうげん,공언,,
公認,こうにん,공인,,
公開,こうかい,공개,,
共和,きょうわ,공화,,
共存,きょうぞん,공존,,
共感,きょうかん,공감,,
共鳴,きょうめい,공명,,
兵器,へいき,병기,,
兵士,へいし,병사,,
兼業,けんぎょう,겸업,,
兼用,けんよう,겸용,,
内乱,ないらん,내란,,
内心,ないしん,내심,,
内緒,ないしょ,비밀,,
内訳,うちわけ,내역,,
内部,ないぶ,내부,,
内閣,ないかく,내각,,
内陸,ないりく,내륙,,
円満な,えんまんな,원만한,,
円滑な,えんかつな,원활한,,
再び,ふたたび,다시,,
再会,さいかい,재회,,
再建,さいけん,재건,,
再現,さいげん,재현,,
再生,さいせい,재생,,
冒頭,ぼうとう,첫머리,,
冬眠,とうみん,동면,,
冷却,れいきゃく,냉각,,
冷気,れいき,찬 기운 냉기,,
冷淡な,れいたんな,냉담한,,
冷蔵,れいぞう,냉장,,
冷遇,れいぐう,냉대,,
冷酷な,れいこくな,냉혹한,,
凄まじい,すさまじい,굉장하다 무시무시하다,,
凝縮,ぎょうしゅく,응축,,
几帳面,きちょうめん,꼼꼼함,,
几帳面な,きちょうめんな,꼼꼼한 빈틈없는,,
処分,しょぶん,처분,,
処置,しょち,조치,,
凶作,きょうさく,흉작,,
出世,しゅっせ,출세,,
出動,しゅつどう,출동,,
出品,しゅっぴん,출품,,
出演,しゅつえん,출연,,
出現,しゅつげん,출현,,
出生,しゅっしょう,출생,,
出産,しゅっさん,출산,,
出社,しゅっしゃ,출근,,
出血,しゅっけつ,출혈,,
出費,しゅっぴ,지출,,
出資,しゅっし,출자 투자,,
出題,しゅつだい,출제,,
分別,ふんべつ,분별 판단력,,
分子,ぶんし,분자,,
分担,ぶんたん,분담,,
分散,ぶんさん,분산,,
分析,ぶんせき,분석,,
分業,ぶんぎょう,분업,,
分母,ぶんぼ,분모,,
分裂,ぶんれつ,분열,,
分配,ぶんぱい,분배,,
分際,ぶんざい,분수 처지,,
切ない,せつない,애달픈,,
切り出す,きりだす,말을 꺼내다 잘라내다,,
切り抜ける,きりぬける,헤쳐 나가다 빠져나가다,,
切開,せっかい,절개,,
刊行,かんこう,간행,,
初出勤,はつしゅっきん,첫 출근,,
初版,しょはん,초판,,
初舞台,はつぶたい,첫 무대 데뷔,,
初雪,はつゆき,첫눈,,
判定,はんてい,판정,,
判決,はんけつ,판결,,
利子,りし,이자,,
利息,りそく,이자,,
利潤,りじゅん,이윤,,
利点,りてん,이점,,
利益,りえき,이익,,
到達,とうたつ,도달,,
制定,せいてい,제정,,
制約,せいやく,제약,,
制裁,せいさい,제재,,
刺繡,ししゅう,자수,,
削減,さくげん,삭감,,
前例,ぜんれい,전례,,
前提,ぜんてい,전제,,
割り込む,わりこむ,끼어들다,,
創刊,そうかん,창간,,
創立,そうりつ,창립,,
創造,そうぞう,창조,,
劇団,げきだん,극단,,
功績,こうせき,공적,,
加入,かにゅう,가입,,
加味,かみ,가미,,
加工,かこう,가공,,
劣る,おとる,뒤떨어지다,,
劣等感,れっとうかん,열등감,,
助動詞,じょどうし,조동사,,
助手,じょしゅ,조수,,
努める,つとめる,힘쓰다,,
励ます,はげます,격려하다,,
励む,はげむ,힘쓰다,,
労力,ろうりょく,노력,,
勇ましい,いさましい,용감한,,
勇敢な,ゆうかんな,용감한,,
勉強家,べんきょうか,공부가 노력가,,
動力,どうりょく,동력,,
動向,どうこう,동향,,
動員,どういん,동원,,
動機,どうき,동기,,
動的な,どうてきな,동적인,,
勘定,かんじょう,계산 셈,,
勝利,しょうり,승리,,
募る,つのる,모집하다,,
募金,ぼきん,모금,,
勢力,せいりょく,세력,,
勤労,きんろう,근로,,
勤勉な,きんべんな,근면한,,
勤務,きんむ,근무,,
勧告,かんこく,권고,,
勧誘,かんゆう,권유,,
化合,かごう,화합,,
化石,かせき,화석,,
匹敵,ひってき,필적,,
区画,くかく,구획,,
区間,くかん,구간,,
医院,いいん,의원,,
匿名,とくめい,익명,,
十字路,じゅうじろ,십자로,,
半端な,はんぱな,어중간한 불완전한,,
卑しい,いやしい,천하다 비열하다,,
協会,きょうかい,협회,,
協定,きょうてい,협정,,
協調,きょうちょう,협조,,
協調性,きょうちょうせい,협조성,,
協議,きょうぎ,협의,,
単価,たんか,단가,,
単独,たんどく,단독,,
単調な,たんちょうな,단조로운,,
