word,reading_hiragana,meaning_ko,source_title,source_author,source_url,example_jp,example_ko,source
あえて,あえて,굳이,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,実際葉子はその後、母にその告白を信じさすほどの生活をあえてしていたのだった。,,public_domain:青空文庫:或る女:有島武郎
あっさり,あっさり,담백하게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,あたりまえならば、なんとかかとか必ず苦情の持ち上がるべき英国風の小やかましい検疫もあっさり済んで放蕩者らしい血気盛りな検疫官は、船に来てから二時間そこそこできげんよく帰って行く事になった。,,public_domain:青空文庫:或る女:有島武郎
あらかじめ,あらかじめ,미리,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子はあらかじめこの刹那に対する態度を決めていたからあわても騒ぎもしなかった。,,public_domain:青空文庫:或る女:有島武郎
いかに,いかに,얼마나,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,古藤は停車場の前方の川添いにある休憩所まで走って行って見たが、帰って来るとぶりぶりして、駅夫あがりらしい茶店の主人は古藤の書生っぽ姿をいかにもばかにしたような断わりかたをしたといった。,,public_domain:青空文庫:或る女:有島武郎
いかにも,いかにも,정말로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,古藤は停車場の前方の川添いにある休憩所まで走って行って見たが、帰って来るとぶりぶりして、駅夫あがりらしい茶店の主人は古藤の書生っぽ姿をいかにもばかにしたような断わりかたをしたといった。,,public_domain:青空文庫:或る女:有島武郎
いきなり,いきなり,갑자기,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,いちばん近い二等車の昇降口の所に立っていた車掌は右の手をポッケットに突っ込んで、靴の爪先で待ちどおしそうに敷き石をたたいていたが、葉子がデッキに足を踏み入れると、いきなり耳をつんざくばかりに呼び子を鳴らした。,,public_domain:青空文庫:或る女:有島武郎
いっそ,いっそ,차라리,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,それだったのに思い入って内田の所に来て見れば、内田は世の常の人々よりもいっそう冷ややかに酷く思われた。,,public_domain:青空文庫:或る女:有島武郎
いったん,いったん,일단,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,いったん木部から離れた葉子の心は、何者も触れた事のない処女のそれのようにさえ見えた。,,public_domain:青空文庫:或る女:有島武郎
いやに,いやに,유난히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,それを聞くと葉子はみごと期待に背負投げをくわされて、その場の滑稽に思わずふき出そうとしたが、いかに事務長に対する恋におぼれきった女心の残虐さからも、さすがに木村の他意ない誠実を笑いきる事は得しないで、葉子はただ心の中で失望したように「あれだからいやになっちまう」とくさくさしながら喞った。,,public_domain:青空文庫:或る女:有島武郎
うっとり,うっとり,황홀하게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,化粧をすました葉子は長椅子にゆっくり腰をかけて、両足をまっすぐにそろえて長々と延ばしたまま、うっとりと思うともなく事務長の事を思っていた。,,public_domain:青空文庫:或る女:有島武郎
おそらく,おそらく,아마,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,この日髪の毛の濃い、口の大きい、色白な一人の青年を乗せた人力車が、仙台の町中を忙しく駆け回ったのを注意した人はおそらくなかったろうが、その青年は名を木村といって、日ごろから快活な活動好きな人として知られた男で、その熱心な奔走の結果、翌日の新聞紙の広告欄には、二段抜きで、知事令夫人以下十四五名の貴婦人の連名で早月親佐の冤罪が雪がれる事になった。,,public_domain:青空文庫:或る女:有島武郎
かえって,かえって,오히려,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,もし葉子が素直な女だったら、かえって食い残しというほどの遺産はあてがわれていたに違いない。,,public_domain:青空文庫:或る女:有島武郎
かつて,かつて,일찍이,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,これほどな席にさえかつて臨んだ習慣のないらしいその人の素性がそのあわてかたに充分に見えすいていた。,,public_domain:青空文庫:或る女:有島武郎
がっくり,がっくり,맥없이,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そしてにやりとしながらがっくりと顔を上向きにはねて、床の間の一蝶のひどい偽い物を見やっていた。,,public_domain:青空文庫:或る女:有島武郎
がっしり,がっしり,튼튼하게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,五十川女史が四角を思い出させるような頑丈な骨組みで、がっしりと正座に居直って、葉子を子供あしらいにしようとするのを見て取ると、葉子の心は逸り熱した。,,public_domain:青空文庫:或る女:有島武郎
きっぱり,きっぱり,단호하게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そして日ごろの柔和に似ず、傷ついた牡牛のように元どおりの生活を回復しようとひしめく良人や、中にはいっていろいろ言いなそうとした親類たちの言葉を、きっぱりとしりぞけてしまって、良人を釘店のだだっ広い住宅にたった一人残したまま、葉子ともに三人の娘を連れて、親佐は仙台に立ちのいてしまった。,,public_domain:青空文庫:或る女:有島武郎
ごく,ごく,극히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,ごく実際的な鋭い頭が針のように光ってとがっていた。,,public_domain:青空文庫:或る女:有島武郎
さぞ,さぞ,틀림없이,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,あなたのような方から御覧になったら、さぞいやな気がなさいましょうねえ」「えゝ」と古藤は目も動かさずにぶっきらぼうに答えた。,,public_domain:青空文庫:或る女:有島武郎
さほど,さほど,그다지,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子も部屋に帰って見たが、今まで閉じこもってばかりいるとさほどにも思わなかったけれども、食堂ほどの広さの所からでもそこに来て見ると、息気づまりがしそうに狭苦しかった。,,public_domain:青空文庫:或る女:有島武郎
さも,さも,정말인 듯,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そしてさらに、母の死んだ夜、日ごろは見向きもしなかった親類たちが寄り集まって来て、早月家には毛の末ほども同情のない心で、早月家の善後策について、さも重大らしく勝手気ままな事を親切ごかしにしゃべり散らすのを聞かされた時、どうにでもなれという気になって、暴れ抜いた事が、自分にさえ悲しい思い出となって、葉子の頭の中を矢のように早くひらめき通った。,,public_domain:青空文庫:或る女:有島武郎
しいて,しいて,굳이,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,古藤はしいてとめようとはしなかった。,,public_domain:青空文庫:或る女:有島武郎
しきりに,しきりに,자꾸,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,教師はしきりにその用途を問いただしたが、恥じやすい乙女心にどうしてこの夢よりもはかない目論見を白状する事ができよう。,,public_domain:青空文庫:或る女:有島武郎
しとやかな,しとやかな,얌전한,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,愛子がいつものように素直に立ち上がって、洟をすすりながら黙って床を取っている間に、葉子はおりおり往来のほうから振り返って、愛子のしとやかな足音や、綿を薄く入れた夏ぶとんの畳に触れるささやかな音を見入りでもするようにそのほうに目を定めた。,,public_domain:青空文庫:或る女:有島武郎
しなやかな,しなやかな,유연한,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,その興奮してぶるぶる震えるしなやかな手を葉子は手欄ごとじっと押えた。,,public_domain:青空文庫:或る女:有島武郎
しんなり,しんなり,축 늘어진,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,ちゃんとお写真をお飾りなすって、おやさしゅうござんすわね」葉子はしんなりと立ち上がってその写真の前に行った。,,public_domain:青空文庫:或る女:有島武郎
じめじめ,じめじめ,축축하게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,時雨らしく照ったり降ったりしていた雨の脚も、やがてじめじめと降り続いて、煮しめたようなきたない部屋の中は、ことさら湿りが強く来るように思えた。,,public_domain:青空文庫:或る女:有島武郎
すかさず,すかさず,곧바로,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子はすかさず豹のようになめらかに身を起こしていち早くもしっかり古藤のさし出す手を握っていた。,,public_domain:青空文庫:或る女:有島武郎
すでに,すでに,이미,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,葉子はその時十九だったが、すでに幾人もの男に恋をし向けられて、その囲みを手ぎわよく繰りぬけながら、自分の若い心を楽しませて行くタクトは充分に持っていた。,,public_domain:青空文庫:或る女:有島武郎
すなわち,すなわち,즉,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,こういう事があってから五日とたたぬうちに、葉子の家庭すなわち早月家は砂の上の塔のようにもろくもくずれてしまった。,,public_domain:青空文庫:或る女:有島武郎
せかせかと,せかせかと,조급하게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そしてせかせかとあたりを見回したが、あわてながら眼窓のカーテンをしめきった。,,public_domain:青空文庫:或る女:有島武郎
せっせと,せっせと,부지런히,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,そしてせっせせっせと世話女房らしく切り回す事に興味をつないでみた。,,public_domain:青空文庫:或る女:有島武郎
せめて,せめて,적어도,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,せめては雷のような激しいその怒りの声に打たれたかった。,,public_domain:青空文庫:或る女:有島武郎
そうそう,そうそう,그렇게 쉽게,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,……おゝそうそう……これは寝ぼけ返っとるぞ、はゝゝゝ」そして互いに顔を見合わせながら二人はしたたか笑った。,,public_domain:青空文庫:或る女:有島武郎
そっと,そっと,살짝,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,意地の弱い葉子の父だけは孫のかわいさからそっと赤ん坊を葉子の乳母の家に引き取るようにしてやった。,,public_domain:青空文庫:或る女:有島武郎
そろそろ,そろそろ,슬슬,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,世故に慣れきって、落ち付き払った中年の婦人が、心の底の動揺に刺激されてたくらみ出すと見える残虐な譎計は、年若い二人の急所をそろそろとうかがいよって、腸も通れと突き刺してくる。,,public_domain:青空文庫:或る女:有島武郎
そわそわ,そわそわ,안절부절못하며,或る女,有島武郎,https://www.aozora.gr.jp/cards/000025/files/201_ruby_2682.zip,少し怪訝そうに葉子のいつになくそわそわした様子を見守る青年をそこに捨ておいたまま葉子は険しく細い階子段を降りた。,,public_domain:青空文庫:或る女:有島武郎
